Ticker,Sales+,Expenses+,Operating Profit,OPM %,Other Income+,Interest,Depreciation,Profit before tax,Tax %,Net Profit+,EPS in Rs,Raw PDF,Revenue+,Financing Profit,Financing Margin %,Gross NPA %,Net NPA %
HEROMOTOCO,"7,422","6,594",828,11%,140,7,158,802,22%,627,31.38,,,,,,
HEROMOTOCO,"8,393","7,452",941,11%,53,7,163,824,24%,625,31.25,,,,,,
HEROMOTOCO,"9,075","8,037","1,038",11%,92,3,163,964,26%,716,35.84,,,,,,
HEROMOTOCO,"8,031","7,107",924,12%,183,5,162,940,24%,711,35.58,,,,,,
HEROMOTOCO,"8,307","7,224","1,083",13%,237,5,169,"1,147",25%,859,42.98,,,,,,
HDFC,"11,976","1,584","10,391",87%,6,"7,662",43,"2,692",17%,"2,233",12.89,,,,,,
HDFC,"13,018","1,561","11,457",88%,2,"7,817",35,"3,607",15%,"3,052",17.59,,,,,,
HDFC,"11,728",766,"10,962",93%,5,"7,399",36,"3,532",19%,"2,870",15.98,,,,,,
HDFC,"11,707","1,080","10,627",91%,9,"6,833",52,"3,753",22%,"2,926",16.25,,,,,,
HDFC,"11,697","1,181","10,516",90%,10,"6,566",37,"3,924",19%,"3,180",17.63,,,,,,
CIPLA,"3,735","3,109",625,17%,330,6,137,813,20%,653,8.09,,,,,,
CIPLA,"3,846","2,852",994,26%,147,2,128,"1,010",25%,759,9.41,,,,,,
CIPLA,"4,151","3,090","1,061",26%,107,8,176,985,27%,720,8.93,,,,,,
CIPLA,"3,536","2,707",829,23%,208,6,130,901,25%,679,8.41,,,,,,
CIPLA,"3,566","2,854",711,20%,-1,9,162,540,34%,355,4.40,,,,,,
HDFCLIFE,"15,834","15,726",108,1%,368,0,0,476,25%,358,1.69,,,,,,
HDFCLIFE,"6,665","6,357",308,5%,68,0,0,376,4%,360,1.70,,,,,,
HDFCLIFE,"23,053","22,782",272,1%,80,0,0,352,7%,326,1.52,,,,,,
HDFCLIFE,"19,551","19,754",-203,-1%,386,0,0,183,-72%,315,1.47,,,,,,
HDFCLIFE,"20,812","21,165",-353,-2%,873,0,0,521,31%,359,1.67,,,,,,
BAJAJ-AUTO,"7,975","6,609","1,366",17%,604,3,70,"1,897",23%,"1,469",50.76,,,,,,
BAJAJ-AUTO,"8,005","6,708","1,297",16%,319,4,67,"1,545",24%,"1,173",40.55,,,,,,
BAJAJ-AUTO,"10,203","8,444","1,759",17%,333,11,67,"2,014",24%,"1,530",52.87,,,,,,
BAJAJ-AUTO,"9,315","7,538","1,777",19%,269,8,74,"1,964",24%,"1,491",52.71,,,,,,
BAJAJ-AUTO,"8,905","7,188","1,717",19%,260,16,74,"1,886",24%,"1,433",50.64,,,,,,
EICHERMOT,"3,195","2,440",755,24%,113,2,117,749,26%,553,20.24,,,,,,
EICHERMOT,"3,248","2,460",788,24%,93,3,114,764,24%,580,21.22,,,,,,
EICHERMOT,"3,397","2,594",804,24%,153,3,125,829,26%,615,22.48,,,,,,
EICHERMOT,"3,590","2,733",857,24%,191,4,131,914,26%,681,24.89,,,,,,
EICHERMOT,"3,831","2,887",945,25%,203,3,142,"1,002",25%,747,27.31,,,,,,
DRREDDY,"3,669","2,999",670,18%,115,13,205,567,26%,420,5.04,,,,,,
DRREDDY,"3,631","3,051",580,16%,403,10,222,752,34%,500,6.00,,,,,,
DRREDDY,"4,880","3,078","1,803",37%,118,2,226,"1,693",34%,"1,116",13.41,,,,,,
DRREDDY,"3,898","3,222",675,17%,51,3,239,485,33%,325,3.90,,,,,,
DRREDDY,"4,554","3,493","1,061",23%,115,3,237,937,28%,672,8.08,,,,,,
M&M,"17,238","15,302","1,936",11%,355,56,693,"1,541",18%,"1,269",10.20,,,,,,
M&M,"19,813","17,391","2,422",12%,99,70,695,"1,755",20%,"1,404",11.29,,,,,,
M&M,"22,105","18,513","3,592",16%,-30,64,791,"2,707",24%,"2,068",16.63,,,,,,
M&M,"22,113","18,840","3,273",15%,-418,69,829,"1,958",22%,"1,528",12.29,,,,,,
M&M,"22,614","19,774","2,840",13%,-220,70,839,"1,711",9%,"1,549",12.46,,,,,,
SBILIFE,"20,671","20,941",-270,-1%,995,0,0,725,7%,672,6.72,,,,,,
SBILIFE,"4,806","4,516",290,6%,11,0,0,301,13%,263,2.63,,,,,,
